Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
1.0,1.0,0.0,0.0,10.0,28.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.95,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,27.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,74953.0,25.4,2022.0,6.0,160.0,2275.0,5.0
1.0,1.0,0.0,0.0,10.0,29.2,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,19200.0,24.99,2023.0,6.0,131.0,1598.0,5.0
1.0,1.0,0.0,0.0,33650.0,39.9,2023.0,6.0,209.0,2143.0,4.0
1.0,1.0,0.0,0.0,59658.0,23.1,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,32184.0,27.7,2024.0,6.0,160.0,1469.0,4.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,30863.0,26.5,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,1.0,27.95,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,27.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,27.5,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,6700.0,26.9,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.73,2025.0,6.0,145.0,1199.0,3.0
1.0,0.0,1.0,0.0,223000.0,6.9,2011.0,6.0,105.0,1598.0,4.0
