fuel,subcategory,transmission,price,year
1.0,1.0,1.0,18190.0,2024.0
1.0,0.0,0.0,25990.0,2025.0
1.0,0.0,1.0,17990.0,2026.0
1.0,1.0,0.0,34990.0,2024.0
1.0,0.0,0.0,24490.0,2026.0
1.0,0.0,0.0,43990.0,2026.0
1.0,0.0,0.0,54990.0,2025.0
1.0,1.0,0.0,43990.0,2025.0
1.0,0.0,0.0,25990.0,2025.0
1.0,0.0,1.0,34730.0,2026.0
1.0,0.0,0.0,39990.0,2025.0
1.0,1.0,0.0,19990.0,2024.0
1.0,0.0,1.0,25590.0,2026.0
1.0,0.0,1.0,23490.0,2025.0
1.0,0.0,0.0,48490.0,2026.0
1.0,1.0,1.0,16950.0,2026.0
1.0,0.0,1.0,26990.0,2025.0
1.0,1.0,1.0,17290.0,2026.0
1.0,1.0,1.0,12390.0,2026.0
1.0,1.0,1.0,11190.0,2025.0
1.0,0.0,0.0,24490.0,2024.0
1.0,0.0,0.0,84800.0,2024.0
1.0,0.0,0.0,30990.0,2026.0
1.0,1.0,0.0,28990.0,2025.0
1.0,1.0,0.0,7369.0,2009.0
1.0,0.0,0.0,20900.0,2018.0
1.0,0.0,0.0,26500.0,2019.0
1.0,0.0,0.0,18800.0,2024.0
1.0,0.0,1.0,14800.0,2019.0
0.0,1.0,0.0,11000.0,2016.0
1.0,1.0,1.0,13400.0,2020.0
1.0,0.0,0.0,20000.0,2016.0
1.0,0.0,0.0,18900.0,2023.0
1.0,0.0,0.0,33500.0,2025.0
1.0,0.0,0.0,13000.0,2025.0
0.0,0.0,0.0,17000.0,2022.0
1.0,1.0,0.0,17000.0,2023.0
1.0,1.0,0.0,14200.0,2019.0
1.0,0.0,0.0,14700.0,2011.0
1.0,1.0,1.0,8500.0,2016.0
1.0,0.0,0.0,24000.0,2023.0
0.0,1.0,0.0,16000.0,2024.0
1.0,0.0,1.0,17900.0,2025.0
1.0,0.0,0.0,30000.0,2022.0
1.0,0.0,0.0,15000.0,2012.0
1.0,1.0,0.0,17000.0,2017.0
1.0,1.0,0.0,15800.0,2014.0
1.0,0.0,1.0,19900.0,2018.0
0.0,0.0,1.0,12500.0,2023.0
1.0,0.0,0.0,22200.0,2019.0
1.0,0.0,1.0,12500.0,2016.0
1.0,0.0,0.0,17000.0,2019.0
0.0,0.0,0.0,21500.0,2025.0
1.0,0.0,0.0,20500.0,2022.0
1.0,0.0,0.0,21000.0,2016.0
1.0,0.0,1.0,14999.0,2011.0
1.0,0.0,0.0,22000.0,2019.0
1.0,0.0,1.0,15590.0,2022.0
1.0,0.0,0.0,15500.0,2017.0
1.0,0.0,0.0,13750.0,2020.0
