fuel,location,price,year,subcategory,transmission
otro,lima,145900.0,2023,camioneta,automatica
gasolina,lima,65900.0,2017,camioneta,secuencial
gasolina,lima,23900.0,2026,otros,secuencial
otro,lima,93991.0,2024,camioneta,automatica
gasolina,lima,16000.0,2019,camioneta,automatica
gasolina,lima,7900.0,2017,otros,automatica
otro,lima,16490.0,2023,camioneta,mecanica
gasolina,lima,18900.0,2023,camioneta,mecanica
gasolina,lima,69900.0,2024,camioneta,secuencial
gasolina,lima,53900.0,2025,deportivo,automatica
gasolina,lima,18900.0,2018,camioneta,automatica
gasolina,lima,16500.0,2023,camioneta,automatica
otro,lima,43900.0,2023,camioneta,automatica
gasolina,lima,39900.0,2014,otros,mecanica
gasolina,lima,27900.0,2024,camioneta,automatica
gasolina,lima,13700.0,2023,camioneta,automatica
gasolina,lima,21500.0,2014,camioneta,secuencial
gasolina,lima,39900.0,2025,camioneta,automatica
gasolina,lima,18800.0,2014,camioneta,secuencial
gasolina,lima,30500.0,2022,otros,automatica
gasolina,lima,20500.0,2016,otros,secuencial
otro,lima,42991.0,2023,otros,automatica
gasolina,lima,43900.0,2014,deportivo,secuencial
gasolina,provincia,47900.0,2022,camioneta,secuencial
gasolina,lima,27500.0,2017,camioneta,secuencial
gasolina,lima,36900.0,2022,camioneta,automatica
gasolina,lima,49900.0,2015,otros,secuencial
gasolina,lima,35000.0,2025,camioneta,automatica
gasolina,lima,52000.0,2023,camioneta,mecanica
gasolina,lima,19490.0,2024,otros,automatica
gasolina,lima,31900.0,2023,otros,secuencial
gasolina,lima,20500.0,2018,camioneta,automatica
otro,lima,82900.0,2024,camioneta,automatica
gasolina,lima,40900.0,2021,camioneta,automatica
gasolina,lima,11000.0,2022,otros,automatica
gasolina,lima,17900.0,2018,camioneta,automatica
gasolina,lima,58900.0,2016,otros,secuencial
gasolina,lima,34900.0,2017,camioneta,secuencial
gasolina,lima,26000.0,2020,camioneta,automatica
otro,lima,19490.0,2024,otros,automatica
otro,lima,21500.0,2016,otros,mecanica
gasolina,lima,18490.0,2024,camioneta,automatica
otro,provincia,34000.0,2025,camioneta,secuencial
gasolina,lima,24900.0,2016,camioneta,automatica
gasolina,lima,39900.0,2025,camioneta,secuencial
gasolina,lima,46900.0,2015,deportivo,automatica
otro,lima,45900.0,2024,camioneta,automatica
otro,lima,51000.0,2023,otros,automatica
gasolina,provincia,10800.0,2021,otros,mecanica
gasolina,lima,24500.0,1966,deportivo,mecanica
gasolina,lima,17900.0,2023,camioneta,secuencial
gasolina,lima,39900.0,2024,camioneta,automatica
otro,lima,84900.0,2023,camioneta,secuencial
gasolina,lima,42900.0,2022,camioneta,automatica
gasolina,lima,10500.0,2012,otros,secuencial
otro,lima,24000.0,2022,camioneta,secuencial
otro,lima,55500.0,2025,deportivo,automatica
otro,lima,45500.0,2024,camioneta,secuencial
gasolina,lima,32500.0,2021,camioneta,automatica
otro,lima,50000.0,2024,camioneta,automatica
gasolina,lima,84900.0,2023,otros,secuencial
gasolina,lima,19900.0,2019,camioneta,automatica
otro,lima,44500.0,2023,camioneta,secuencial
gasolina,lima,27000.0,2022,camioneta,automatica
otro,lima,50000.0,2024,camioneta,automatica
gasolina,lima,12300.0,2011,otros,automatica
gasolina,lima,18900.0,2020,camioneta,secuencial
otro,lima,48000.0,2019,camioneta,secuencial
gasolina,lima,42500.0,2022,otros,secuencial
gasolina,lima,39900.0,2018,camioneta,secuencial
gasolina,lima,12490.0,2020,otros,automatica
otro,lima,42900.0,2024,otros,secuencial
gasolina,lima,19990.0,2021,camioneta,secuencial
gasolina,lima,17900.0,2017,camioneta,automatica
gasolina,lima,16990.0,2021,camioneta,mecanica
gasolina,lima,12390.0,2015,camioneta,mecanica
gasolina,lima,48990.0,2022,otros,secuencial
gasolina,lima,24490.0,2022,otros,automatica
otro,lima,18900.0,2009,camioneta,secuencial
gasolina,lima,34500.0,2024,camioneta,automatica
gasolina,lima,83000.0,2025,camioneta,secuencial
otro,lima,55900.0,2024,deportivo,automatica
gasolina,lima,62000.0,2022,camioneta,secuencial
gasolina,lima,39500.0,2025,otros,automatica
gasolina,lima,39900.0,2016,otros,secuencial
gasolina,lima,66900.0,2023,camioneta,automatica
gasolina,lima,30900.0,2023,camioneta,secuencial
otro,lima,45900.0,2024,camioneta,automatica
gasolina,lima,45900.0,2023,camioneta,automatica
otro,lima,28900.0,2023,camioneta,automatica
gasolina,lima,36900.0,2021,camioneta,automatica
otro,lima,29500.0,2024,camioneta,secuencial
gasolina,lima,33900.0,2021,camioneta,automatica
gasolina,lima,22750.0,2023,camioneta,secuencial
otro,lima,42000.0,2023,camioneta,automatica
gasolina,lima,27500.0,2024,camioneta,secuencial
gasolina,lima,10900.0,2013,camioneta,automatica
gasolina,lima,16990.0,2012,camioneta,automatica
gasolina,lima,69900.0,2017,camioneta,secuencial
otro,lima,112900.0,2024,camioneta,secuencial
gasolina,lima,27990.0,2020,camioneta,automatica
gasolina,lima,73000.0,2016,camioneta,automatica
gasolina,lima,36900.0,2019,camioneta,secuencial
gasolina,lima,30990.0,2024,otros,secuencial
gasolina,lima,44500.0,2024,camioneta,automatica
otro,lima,35990.0,2024,camioneta,automatica
gasolina,lima,16000.0,2024,otros,mecanica
gasolina,lima,56000.0,2025,camioneta,automatica
gasolina,lima,19900.0,2023,camioneta,automatica
gasolina,lima,115000.0,2024,camioneta,secuencial
gasolina,lima,18900.0,2019,camioneta,automatica
gasolina,provincia,38500.0,2023,camioneta,automatica
otro,lima,39500.0,2023,otros,automatica
gasolina,lima,68900.0,2023,camioneta,secuencial
gasolina,lima,83000.0,2018,camioneta,automatica
otro,provincia,14000.0,2014,otros,automatica
gasolina,lima,18900.0,2018,camioneta,automatica
gasolina,lima,64900.0,2021,camioneta,secuencial
gasolina,lima,11500.0,2009,otros,mecanica
gasolina,lima,85991.0,2023,camioneta,automatica
otro,lima,18990.0,2025,otros,mecanica
otro,lima,50990.0,2023,camioneta,automatica
gasolina,lima,37900.0,2021,otros,secuencial
gasolina,lima,35990.0,2026,camioneta,automatica
gasolina,lima,15500.0,2023,camioneta,secuencial
gasolina,lima,34900.0,2019,camioneta,secuencial
gasolina,lima,22500.0,2019,camioneta,automatica
otro,lima,45900.0,2018,camioneta,secuencial
gasolina,lima,25900.0,2025,camioneta,automatica
otro,lima,33000.0,2026,camioneta,secuencial
otro,lima,27000.0,2024,camioneta,secuencial
gasolina,lima,24900.0,2018,otros,secuencial
gasolina,lima,16900.0,2024,camioneta,secuencial
gasolina,provincia,15500.0,2017,camioneta,automatica
gasolina,lima,32000.0,2022,camioneta,automatica
gasolina,lima,15500.0,2022,camioneta,automatica
otro,lima,96900.0,2023,camioneta,automatica
gasolina,lima,35000.0,2022,camioneta,automatica
otro,lima,51500.0,2024,camioneta,secuencial
gasolina,lima,19000.0,2022,camioneta,automatica
gasolina,lima,13900.0,2015,camioneta,mecanica
gasolina,lima,12900.0,2010,camioneta,secuencial
